Dato,Track,Race Number,Distance,Surface,Prize money,Starting position,Jockey,Jockey weight,Country,Horse age,TrainerName,Race time,Path,Final place,FGrating,Odds,RaceType,HorseId,JockeyId,TrainerID
03.09.2017,Sha Tin,10,1400,Gress,1310000,6,K C Leung,52,Sverige,7,CH Yip,8338,2,9,110,22,Handicap,1736,8656,6687
16.09.2017,Sha Tin,10,1400,Gress,1310000,14,C Y Ho,52,Sverige,7,CH Yip,8156,3,4,124,48,Handicap,1736,8659,6687
14.10.2017,Sha Tin,10,1400,Gress,1310000,8,C Y Ho,52,Sverige,7,CH Yip,8236,1,6,118,11,Handicap,1736,8659,6687
11.11.2017,Sha Tin,9,1600,Gress,1310000,13,Brett Prebble,54,Sverige,7,CH Yip,9653,0,8,107,11,Handicap,1736,8453,6687
26.11.2017,Sha Tin,9,1600,Gress,1310000,9,C Y Ho,52,Sverige,7,CH Yip,9417,0,3,123,40,Handicap,1736,8659,6687
10.12.2017,Sha Tin,1,1800,Gress,1310000,4,C Y Ho,52,Sverige,7,CH Yip,10792,2,3,123,81,Handicap,1736,8659,6687
01.01.2018,Sha Tin,9,1800,Gress,1310000,9,C Schofield,54,Sverige,8,CH Yip,10863,5,1,125,69,Handicap,1736,8655,6687
04.02.2018,Sha Tin,5,1800,Gress,1310000,6,Joao Moreira,57,Sverige,8,CH Yip,10819,0,4,122,37,Handicap,1736,8443,6687
03.03.2018,Sha Tin,8,1800,Gress,1310000,3,C Y Ho,56,Sverige,8,CH Yip,10765,1,3,125,9,Handicap,1736,8659,6687
11.03.2018,Sha Tin,10,1600,Gress,1310000,8,C Y Ho,57,Sverige,8,CH Yip,9446,1,6,124,14,Handicap,1736,8659,6687
28.03.2018,Happy Valley,8,1800,Gress,1310000,9,M F Poon,53,Sverige,8,CH Yip,10959,3,9,117,13,Handicap,1736,8658,6687
11.04.2018,Happy Valley,6,1650,Gress,1310000,11,W M Lai,55,Sverige,8,CH Yip,10107,4,8,114,21,Handicap,1736,8674,6687
25.04.2018,Happy Valley,3,2200,Gress,1310000,2,W M Lai,54,Sverige,8,CH Yip,13821,5,10,120,35,Handicap,1736,8674,6687
09.05.2018,Happy Valley,7,1650,Gress,1310000,3,W M Lai,54,Sverige,8,CH Yip,10229,2,9,111,46,Handicap,1736,8674,6687
22.09.2018,Sha Tin,4,1600,Gress,920000,11,C Y Ho,57,Sverige,8,CH Yip,9434,3,4,121,14,Handicap,1736,8659,6687
07.10.2018,Sha Tin,6,1600,Gress,920000,9,C Y Ho,56,Sverige,8,CH Yip,9498,2,5,119,81,Handicap,1736,8659,6687
